"County","Election District","Election Precinct","Candidate Name","Party","Office Name","Office District","Winner","Write-In?","Election Night Votes","Election Night Votes Against"
"11","002","002","Barack Obama","DEM","President - Vice Pres","","Y","","342",""
"11","002","002","Mitt Romney","REP","President - Vice Pres","","","","195",""
"11","002","002","Gary Johnson","LIB","President - Vice Pres","","","","12",""
"11","002","002","Jill Stein","GRN","President - Vice Pres","","","","5",""
"11","002","002","Tiffany Renee Briscoe","DEM","President - Vice Pres","","","Y","0",""
"11","002","002","Dennis Knill","DEM","President - Vice Pres","","","Y","0",""
"11","002","002","Matthew Lydick","REP","President - Vice Pres","","","Y","0",""
"11","002","002","Barbara A. Prokopich","REP","President - Vice Pres","","","Y","0",""
"11","002","002","Santa Claus","IND","President - Vice Pres","","","Y","0",""
"11","002","002","Richard Duncan","IND","President - Vice Pres","","","Y","0",""
"11","002","002","Bruce Mlynski","IND","President - Vice Pres","","","Y","0",""
"11","002","002","Kevin M. Thorne","IND","President - Vice Pres","","","Y","0",""
"11","002","002","James Clymer","CON","President - Vice Pres","","","Y","0",""
"11","002","002","Virgil Goode","CON","President - Vice Pres","","","Y","0",""
"11","002","002","Ross C. Rocky Anderson","OTH","President - Vice Pres","","","Y","0",""
"11","002","002","Andre Barnett","OTH","President - Vice Pres","","","Y","0",""
"11","002","002","Roseanne Barr","OTH","President - Vice Pres","","","Y","0",""
"11","002","002","Will Christensen","OTH","President - Vice Pres","","","Y","0",""
"11","002","002","Stephen Durham","OTH","President - Vice Pres","","","Y","0",""
"11","002","002","Merlin Miller","OTH","President - Vice Pres","","","Y","0",""
"11","002","002","Leon Leo Ray","OTH","President - Vice Pres","","","Y","0",""
"11","002","002","Michael David Boyles","UNF","President - Vice Pres","","","Y","0",""
"11","002","002","Theodis (Ted) Brown, Sr.","UNF","President - Vice Pres","","","Y","0",""
"11","002","002","Paul Chehade","UNF","President - Vice Pres","","","Y","0",""
"11","002","002","David M. Crosby","UNF","President - Vice Pres","","","Y","0",""
"11","002","002","Fred Donald Dickson, Jr.","UNF","President - Vice Pres","","","Y","0",""
"11","002","002","Robert William Dietz","UNF","President - Vice Pres","","","Y","0",""
"11","002","002","Dwight Kenneth French","UNF","President - Vice Pres","","","Y","0",""
"11","002","002","Darrell Hykes","UNF","President - Vice Pres","","","Y","0",""
"11","002","002","Nelson Keyton","UNF","President - Vice Pres","","","Y","0",""
"11","002","002","Dean Morstad","UNF","President - Vice Pres","","","Y","0",""
"11","002","002","Deonia Neveu","UNF","President - Vice Pres","","","Y","0",""
"11","002","002","Terrance James O'Hara","UNF","President - Vice Pres","","","Y","0",""
"11","002","002","Jill Reed","UNF","President - Vice Pres","","","Y","0",""
"11","002","002","Cecil James Roth","UNF","President - Vice Pres","","","Y","0",""
"11","002","002","Sheila Tittle","UNF","President - Vice Pres","","","Y","0",""
"11","002","002","Other Write-Ins","BOT","President - Vice Pres","","","Y","5",""
"11","002","002","Ben Cardin","DEM","U.S. Senator           ","","Y","","282",""
"11","002","002","Daniel John Bongino","REP","U.S. Senator           ","","","","158",""
"11","002","002","Dean Ahmad","LIB","U.S. Senator           ","","","","15",""
"11","002","002","S. Rob Sobhani","UNF","U.S. Senator           ","","","","76",""
"11","002","002","Lih Young","DEM","U.S. Senator           ","","","Y","0",""
"11","002","002","Mary Podlesak","REP","U.S. Senator           ","","","Y","0",""
"11","002","002","Brandy Baker","UNF","U.S. Senator           ","","","Y","0",""
"11","002","002","Ed Tinus","UNF","U.S. Senator           ","","","Y","0",""
"11","002","002","Other Write-Ins","BOT","U.S. Senator           ","","","Y","0",""
"11","002","002","John Delaney","DEM","U.S. Congress","06","Y","","338",""
"11","002","002","Roscoe G. Bartlett","REP","U.S. Congress","06","","","179",""
"11","002","002","Nickolaus Mueller","LIB","U.S. Congress","06","","","19",""
"11","002","002","Other Write-Ins","BOT","U.S. Congress","06","","Y","1",""
"11","002","002","William Rogers Nicklas, Jr.","BOT","Judge Circuit Court","06","Y","","397",""
"11","002","002","Other Write-Ins","BOT","Judge Circuit Court","06","","Y","5",""
"11","002","002","Lynne A. Battaglia","BOT","Appellate Judge","03","Y","","379","59"
"11","002","002","Stuart R. Berger","BOT","Judge Spec Appeal at Lg","","Y","","369","58"
"11","002","002","Zakir Bengali","NON","Board of Education     ","","Y","","225",""
"11","002","002","Tony Chmelik","NON","Board of Education     ","","","","153",""
"11","002","002","Colleen Cusimano","NON","Board of Education     ","","","","191",""
"11","002","002","Kathryn B. Katie Groth","NON","Board of Education     ","","Y","","309",""
"11","002","002","Joy Schaefer","NON","Board of Education     ","","Y","","278",""
"11","002","002","Tom Shade","NON","Board of Education     ","","","","83",""
"11","002","002","Other Write-Ins","NON","Board of Education     ","","","Y","6",""
"11","002","003","Barack Obama","DEM","President - Vice Pres","","Y","","954",""
"11","002","003","Mitt Romney","REP","President - Vice Pres","","","","533",""
