"Vote Type (FOR=1,AGAINST=2)","County","Candidate Name","Party","Office Name","Office District","Winner","Write-In?", LEGS 26,LEGS 47,LEGS 02A,LEGS 45,LEGS 37B,LEGS 08,LEGS 17,LEGS 34A,LEGS 28,LEGS 04B,LEGS 03B,LEGS 13,LEGS 12B,LEGS 29B,LEGS 07,LEGS 18,LEGS 21,LEGS 11,LEGS 34B,LEGS 04A,LEGS 38B,LEGS 19,LEGS 20,LEGS 23A,LEGS 22,LEGS 31,LEGS 44,LEGS 16,LEGS 02C,LEGS 39,LEGS 25,LEGS 32,LEGS 43,LEGS 10,LEGS 36,LEGS 09B,LEGS 03A,LEGS 09A,LEGS 29A,LEGS 42,LEGS 14,LEGS 46,LEGS 12A,LEGS 27B,LEGS 29C,LEGS 15,LEGS 01B,LEGS 35A,LEGS 24,LEGS 40,LEGS 41,LEGS 37A,LEGS 01A,LEGS 01C,LEGS 35B,LEGS 06,LEGS 27A,LEGS 30,LEGS 33A,LEGS 33B,LEGS 05A,LEGS 23B,LEGS 38A,LEGS 02B,LEGS 05B
1,00,"Lih Young",DEM,U.S. Senator           ,,,Y,1,0,1,3,2,2,3,3,1,1,1,6,1,1,3,1,2,5,0,2,0,4,0,2,2,3,4,0,2,2,3,2,0,11,5,0,2,0,0,1,2,3,3,0,0,5,0,1,0,2,2,1,0,0,1,1,3,1,2,0,0,1,0,0,2
1,00,"Mary Podlesak",REP,U.S. Senator           ,,,Y,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
1,00,"Brandy Baker",UNF,U.S. Senator           ,,,Y,2,1,1,1,0,4,1,0,0,0,1,1,0,0,8,3,4,0,0,1,0,8,9,2,3,2,3,0,1,1,1,2,7,2,2,1,3,0,0,1,3,1,1,0,0,1,1,0,0,11,1,0,0,3,0,2,1,2,1,0,1,0,0,0,1
1,00,"Ed Tinus",UNF,U.S. Senator           ,,,Y,0,0,0,0,0,2,0,0,0,0,0,0,0,2,1,0,0,1,0,1,12,0,1,0,0,1,0,0,0,0,0,2,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,4,0,0,1,0,0,0,1,0,0
1,00,"Other Write-Ins",BOT,U.S. Senator           ,,,Y,35,19,9,20,33,44,26,41,43,9,17,45,13,20,31,36,41,47,13,25,52,30,38,21,25,49,23,41,9,38,40,37,45,40,61,20,37,37,9,59,37,31,39,17,14,51,7,31,30,37,14,20,5,9,18,35,30,36,29,10,24,10,17,8,16
1,00,"Wendy Rosen",DEM,U.S. Congress,01,,,,,,,7042,2535,,217,,1040,,,,,4829,,,,4537,,9064,,,,,,,,,,,,,,12573,147,,,,313,,,,,,,,7965,,,,6027,,,4479,,,,,,4472,,4446,,1077
1,00,"Andy Harris",REP,U.S. Congress,01,Y,,,,,,19127,5725,,415,,3486,,,,,13215,,,,11014,,19650,,,,,,,,,,,,,,27683,635,,,,707,,,,,,,,28265,,,,4553,,,11734,,,,,,15339,,7739,,3301
1,00,"Muir Wayne Boda",LIB,U.S. Congress,01,,,,,,,1428,286,,21,,169,,,,,625,,,,537,,1545,,,,,,,,,,,,,,1426,31,,,,50,,,,,,,,1346,,,,493,,,641,,,,,,687,,672,,183
1,00,"John LaFerla",DEM,U.S. Congress,01,,Y,,,,,2032,103,,12,,2,,,,,247,,,,496,,1796,,,,,,,,,,,,,,2722,0,,,,36,,,,,,,,209,,,,480,,,79,,,,,,9,,491,,103
1,00,"Michael Calpino",UNF,U.S. Congress,01,,Y,,,,,7,0,,0,,0,,,,,2,,,,4,,6,,,,,,,,,,,,,,22,0,,,,0,,,,,,,,7,,,,2,,,2,,,,,,0,,0,,0
1,00,"Douglas Dryden Rae",UNF,U.S. Congress,01,,Y,,,,,3,0,,0,,0,,,,,0,,,,0,,0,,,,,,,,,,,,,,13,0,,,,0,,,,,,,,0,,,,0,,,1,,,,,,0,,0,,0
1,00,"Other Write-Ins",BOT,U.S. Congress,01,,Y,,,,,138,32,,3,,82,,,,,141,,,,16,,77,,,,,,,,,,,,,,182,20,,,,2,,,,,,,,538,,,,43,,,269,,,,,,309,,32,,10
1,00,"C. A. Dutch Ruppersberger",DEM,U.S. Congress,02,Y,,,,,10595,,12666,,15624,,,,6609,,,13186,,1119,20272,,,,,,,,4072,,,,,,9618,,8266,,,,,,16898,,6486,2096,,,,,1,,,,,,,,19031,,,,,,,,,724
1,00,"Nancy C. Jacobs",REP,U.S. Congress,02,,,,,,1154,,6673,,13314,,,,3399,,,10662,,352,6904,,,,,,,,2002,,,,,,4852,,679,,,,,,11241,,1044,1400,,,,,6,,,,,,,,13015,,,,,,,,,877
1,00,"Leo Wayne Dymowski",LIB,U.S. Congress,02,,,,,,237,,643,,945,,,,418,,,1000,,40,812,,,,,,,,265,,,,,,554,,134,,,,,,1180,,225,141,,,,,1,,,,,,,,1259,,,,,,,,,29
1,00,"Ray Bly",REP,U.S. Congress,02,,Y,,,,0,,4,,3,,,,2,,,2,,1,1,,,,,,,,0,,,,,,0,,1,,,,,,1,,0,0,,,,,0,,,,,,,,1,,,,,,,,,0
1,00,"Other Write-Ins",BOT,U.S. Congress,02,,Y,,,,11,,34,,44,,,,18,,,26,,1,38,,,,,,,,6,,,,,,16,,19,,,,,,59,,9,7,,,,,0,,,,,,,,53,,,,,,,,,1
1,00,"John Sarbanes",DEM,U.S. Congress,03,Y,,,,,5079,,8510,,,,,,20576,,,,,4389,11405,,,,2131,4814,,,9156,1759,,,,,12942,6628,,,,,,,7635,16124,13310,5741,,,,,,,3910,7882,,,,,,,15326,,,,,,,
1,00,"Eric Delano Knowles",REP,U.S. Congress,03,,,,,,1017,,6264,,,,,,9610,,,,,1771,3138,,,,1180,885,,,8775,459,,,,,8839,1249,,,,,,,4555,7103,4764,4084,,,,,,,731,2158,,,,,,,10345,,,,,,,
1,00,"Paul W. Drgos, Jr.",LIB,U.S. Congress,03,,,,,,275,,796,,,,,,1090,,,,,203,339,,,,85,118,,,990,118,,,,,1016,232,,,,,,,368,597,1068,535,,,,,,,267,233,,,,,,,957,,,,,,,
1,00,"Other Write-Ins",BOT,U.S. Congress,03,,Y,,,,7,,25,,,,,,53,,,,,15,26,,,,12,9,,,28,6,,,,,38,12,,,,,,,22,46,44,17,,,,,,,10,15,,,,,,,37,,,,,,,
1,00,"Donna F. Edwards",DEM,U.S. Congress,04,Y,,25500,20840,,,,,,,,,,,,,,,13835,,,,,,,8578,6301,5728,,,,,32858,2095,,,,,,,,,,,,,,,,,33950,,,,,,,,,4142,12040,3106,,5305,,,
1,00,"Faith M. Loudon",REP,U.S. Congress,04,,,1296,1490,,,,,,,,,,,,,,,3077,,,,,,,1134,639,11480,,,,,1114,2597,,,,,,,,,,,,,,,,,803,,,,,,,,,5570,17957,4687,,237,,,
1,00,"Scott Soffen",LIB,U.S. Congress,04,,,313,351,,,,,,,,,,,,,,,418,,,,,,,155,160,818,,,,,315,243,,,,,,,,,,,,,,,,,332,,,,,,,,,427,1268,316,,54,,,
